// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B4151C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
00370		0.324982	0.540348	-0.191597	0.752131	10.417945	-69.612198	126.010790
00371		0.324946	0.540096	-0.191756	0.752287	10.324223	-69.592391	126.092148
00372		0.324901	0.539882	-0.191897	0.752425	10.240701	-69.575898	126.166018
00373		0.324789	0.539700	-0.191986	0.752580	10.161327	-69.561110	126.246307
00374		0.324662	0.539517	-0.192060	0.752747	10.082019	-69.545425	126.329228
00375		0.324545	0.539354	-0.192121	0.752899	10.011564	-69.531152	126.403638
00376		0.324426	0.539201	-0.192223	0.753034	9.934404	-69.520509	126.481532
00377		0.324315	0.539087	-0.192362	0.753128	9.859665	-69.516768	126.553537
00378		0.324207	0.538982	-0.192534	0.753206	9.780671	-69.516021	126.626836
00379		0.324082	0.538879	-0.192692	0.753293	9.701595	-69.514920	126.702812
00380		0.323930	0.538796	-0.192849	0.753377	9.621360	-69.516460	126.782709
00381		0.323762	0.538711	-0.192984	0.753476	9.542356	-69.516567	126.864733
00382		0.323596	0.538632	-0.193089	0.753577	9.470837	-69.515467	126.941479
00383		0.323462	0.538508	-0.193188	0.753697	9.397822	-69.508197	127.017127
00384		0.323332	0.538395	-0.193295	0.753807	9.326312	-69.502586	127.090256
00385		0.323179	0.538301	-0.193385	0.753916	9.257659	-69.498570	127.164231
00386		0.322992	0.538235	-0.193450	0.754027	9.193076	-69.496885	127.239512
00387		0.322846	0.538189	-0.193531	0.754101	9.137547	-69.497991	127.300818
00388		0.322716	0.538144	-0.193636	0.754162	9.080592	-69.500426	127.360174
00389		0.322646	0.538086	-0.193842	0.754180	9.011806	-69.506670	127.417382
00390		0.322605	0.538032	-0.194057	0.754181	8.948004	-69.513540	127.466263
00391		0.322572	0.537965	-0.194264	0.754190	8.884504	-69.518206	127.514680
00392		0.322501	0.537922	-0.194444	0.754205	8.823784	-69.524692	127.566189
00393		0.322442	0.537883	-0.194624	0.754212	8.766573	-69.531478	127.613204
00394		0.322404	0.537855	-0.194813	0.754199	8.713795	-69.539886	127.653102
00395		0.322388	0.537816	-0.194981	0.754190	8.667788	-69.545436	127.686106
